width_cm,length_cm,height_cm,num_computers,hours_per_day,lighting_type,has_ac,climate_factor,monthly_kwh,sustainability_score
502,935,274,12,11.18390181036444,Other,0,Cool,721.3703947397694,88.78181960102492
730,958,347,28,11.810661675386235,Other,1,Cool,1708.102442049795,85.92248284446872
708,1269,347,34,6.548069328139314,LED,0,Hot,1064.8428809326406,88.16889166604703
859,813,281,29,7.4947496823765025,LED,0,Hot,1031.9721744910503,84.48261059985606
458,1010,301,32,15.68506622609751,Fluorescent,0,Cool,2445.234246350849,59.87655404419084
962,1375,314,7,14.319284880835847,LED,0,Cool,729.1464756103566,100.0
1046,520,332,22,15.38662644704,Other,0,Hot,1672.3551833430615,71.4781055756
739,591,319,11,11.31995989339145,LED,1,Cool,651.0665301778,95.65384964980674
1175,1442,294,18,8.692727290878889,Fluorescent,1,Cool,1282.9424840693298,89.8490572245238
789,1065,263,33,15.635015533174702,LED,1,Warm,2624.711684955252,78.24641082910465
1129,1055,293,14,14.737928205131785,Fluorescent,0,Cool,1508.8454426891594,86.35309417114544
855,961,346,25,8.664127476273784,Fluorescent,0,Cool,1198.4637435581396,86.56880188165174
737,1378,312,28,8.281039920323071,Fluorescent,0,Warm,1317.9758323844885,83.68109541869848
440,656,274,5,4.187636880894328,Fluorescent,1,Cool,149.08297942056407,91.22991640078607
920,843,260,12,4.066265405483229,Other,1,Hot,771.8927629968169,82.34406539992128
1074,918,292,9,15.115610542160187,LED,1,Cool,934.6041418340418,98.50726192907825
440,527,266,13,11.479577521930695,Other,1,Hot,840.0355092617289,62.76152984037216
806,1073,347,39,11.095573452492726,Other,1,Hot,2620.0370638607146,72.53883596942832
1125,1486,294,5,8.595122497045478,LED,0,Cool,389.8318090627147,100.0
797,1370,286,13,12.527954676229449,Other,0,Warm,1102.7944057013656,89.9371557657652
953,1391,336,36,11.636924935165364,LED,0,Cool,2126.2853954932198,95.45244335119439
1133,984,282,19,13.066613662516584,Fluorescent,1,Warm,1640.7458625173115,81.56248297665904
435,1024,291,11,7.477017434965216,Other,1,Cool,488.7260994190171,92.45927113854115
1045,1295,287,24,14.710707981879732,Fluorescent,1,Cool,2398.4729567975232,82.64914946340318
730,1139,348,37,7.265586992615624,Other,1,Hot,1682.006064510233,78.37396235561866
1109,955,286,13,9.8179596563078,Other,0,Hot,781.9252637041917,84.83709314358745
624,1318,303,28,15.31491644695023,Other,0,Hot,2255.9577900494987,71.89417423522403
632,1191,321,16,7.02138754990437,Other,0,Cool,568.4381208290579,95.29478667171443
785,886,315,21,7.2013721713034204,Fluorescent,1,Warm,994.4993269295114,82.9213649827863
1135,724,260,23,12.168465418657203,Other,0,Hot,1525.2773936109668,75.72187914939437
452,1183,349,36,10.634717068855934,Fluorescent,0,Cool,1821.2220797703305,75.4815963064502
583,622,276,28,9.643607613352462,LED,1,Warm,1366.0032749319296,74.70307574187048
1009,697,345,15,13.797182478632607,Fluorescent,0,Cool,1195.341195946494,85.14676494135284
586,825,339,33,14.300305657764639,Other,1,Cool,2362.3723882310774,71.17116511417504
